label_frac,n_labelled,metric,arm_a,arm_b,mean_a,sd_a,mean_b,sd_b,a_minus_b,p,verdict
0.01,35,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.3,0.0438,0.2775,0.0416,0.0225,0.4167,tie
0.01,35,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.2685,0.1014,0.0899,0.1699,0.1786,0.0374,a
0.01,35,auprc,AlignSSL-pretrained,DeepSV-representation,0.3,0.0438,0.3159,0.0318,-0.0159,0.5423,tie
0.01,35,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.2685,0.1014,0.2336,0.1702,0.0349,0.6474,tie
0.01,35,auprc,AlignSSL-scratch,DeepSV-representation,0.2775,0.0416,0.3159,0.0318,-0.0384,0.0333,b
0.01,35,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.0899,0.1699,0.2336,0.1702,-0.1437,0.0751,tie
0.05,173,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.3529,0.0663,0.3637,0.0614,-0.0108,0.7891,tie
0.05,173,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.3759,0.1089,0.4006,0.0491,-0.0247,0.6886,tie
0.05,173,auprc,AlignSSL-pretrained,DeepSV-representation,0.3529,0.0663,0.4152,0.0262,-0.0623,0.1553,tie
0.05,173,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.3759,0.1089,0.3962,0.0634,-0.0203,0.7443,tie
0.05,173,auprc,AlignSSL-scratch,DeepSV-representation,0.3637,0.0614,0.4152,0.0262,-0.0515,0.0308,b
0.05,173,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.4006,0.0491,0.3962,0.0634,0.0043,0.8667,tie
0.1,345,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.4506,0.0216,0.473,0.0933,-0.0224,0.4898,tie
0.1,345,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.4316,0.0853,0.4494,0.0917,-0.0178,0.7418,tie
0.1,345,auprc,AlignSSL-pretrained,DeepSV-representation,0.4506,0.0216,0.434,0.0527,0.0166,0.4193,tie
0.1,345,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.4316,0.0853,0.3975,0.0666,0.0341,0.5088,tie
0.1,345,auprc,AlignSSL-scratch,DeepSV-representation,0.473,0.0933,0.434,0.0527,0.0391,0.2679,tie
0.1,345,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.4494,0.0917,0.3975,0.0666,0.0519,0.1667,tie
0.25,863,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.6411,0.0256,0.7239,0.055,-0.0828,0.0026,b
0.25,863,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.5911,0.0298,0.6362,0.0551,-0.0451,0.0765,tie
0.25,863,auprc,AlignSSL-pretrained,DeepSV-representation,0.6411,0.0256,0.5304,0.043,0.1106,0.0002,a
0.25,863,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.5911,0.0298,0.5074,0.0486,0.0837,0.0034,a
0.25,863,auprc,AlignSSL-scratch,DeepSV-representation,0.7239,0.055,0.5304,0.043,0.1934,0.0,a
0.25,863,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.6362,0.0551,0.5074,0.0486,0.1288,0.0,a
0.5,1726,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.7441,0.045,0.8027,0.0462,-0.0586,0.0735,tie
0.5,1726,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.667,0.048,0.711,0.0442,-0.044,0.1721,tie
0.5,1726,auprc,AlignSSL-pretrained,DeepSV-representation,0.7441,0.045,0.5462,0.0715,0.1979,0.0002,a
0.5,1726,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.667,0.048,0.5131,0.0599,0.1539,0.0015,a
0.5,1726,auprc,AlignSSL-scratch,DeepSV-representation,0.8027,0.0462,0.5462,0.0715,0.2565,0.0,a
0.5,1726,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.711,0.0442,0.5131,0.0599,0.1979,0.0,a
1.0,3452,auprc,AlignSSL-pretrained,AlignSSL-scratch,0.8558,0.0353,0.8355,0.0545,0.0203,0.4314,tie
1.0,3452,f1_at_tau,AlignSSL-pretrained,AlignSSL-scratch,0.7781,0.0352,0.7532,0.0621,0.0248,0.3684,tie
1.0,3452,auprc,AlignSSL-pretrained,DeepSV-representation,0.8558,0.0353,0.614,0.0473,0.2418,0.0,a
1.0,3452,f1_at_tau,AlignSSL-pretrained,DeepSV-representation,0.7781,0.0352,0.579,0.0473,0.1991,0.0,a
1.0,3452,auprc,AlignSSL-scratch,DeepSV-representation,0.8355,0.0545,0.614,0.0473,0.2215,0.0,a
1.0,3452,f1_at_tau,AlignSSL-scratch,DeepSV-representation,0.7532,0.0621,0.579,0.0473,0.1742,0.0,a
